ID,URL,Name,Author,Description,Scenario,Symptoms,Security Impact,Security Related Design,"""Pernicious Kingdom""",Root cause 1,Confidence 1,Root cause 2,Confidence 2,Root cause 3,Confidence 3,Consensus Value,Stage,Jasmine root cause analysis,Jasmine Reasoning,Alexander root cause analysis,Alexander Reasoning,FH Review
113,https://cwe.mitre.org/data/definitions/113.html,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),Jasmine,"The product receives data from an HTTP agent/component (e.g., web server, proxy, browser, etc.), but it does not neutralize or incorrectly neutralizes CR and LF characters before the data is included in outgoing HTTP headers.","An attacker can make a single request to a vulnerable server that will cause the server to create two responses, the second of which may be misinterpreted as a response to a different request, possibly one made by another user sharing the same TCP connection with the server.",personal data leak,"modify application data, gain privileges, cache poisoning, page hijacking, http response splitting","neutralization, input validation, output encoding",input validation and representation,Rule Encoding Deficiencies,low,lack of knowledge,medium,O1: lack of security requirements,high,,coding,Author,Author,Lack of knowledge / Rule encoding deficiencies,,
211,https://cwe.mitre.org/data/definitions/211.html,Externally-Generated Error Message Containing Sensitive Information,Jasmine,"The product performs an operation that triggers an external diagnostic or error message that is not directly generated or controlled by the product, such as an error generated by the programming language interpreter that a software application uses. The error can contain sensitive system information.","if the code does not catch runtime exceptions, meaning that if such an exception were to occur, the error messge container may display potentially dangerous information (such as a full stack trace).",program data leak,"read application data, sensitive information, system information","system configuration, compilation hardening, error handling, exceptions",input validation and representation,biased review,medium,lack of knowledge,low,selectivity,high,biased review,coding,Author,Author,Lack of knowledge / Selectivity,,
674,https://cwe.mitre.org/data/definitions/674.html,uncontrolled recursion,Jasmine,"The product does not properly control the amount of recursion that takes place, consuming excessive resources, such as allocated memory or the program stack.",a mistake exists in the code where the exit condition contained in flg is never called. This results in the function calling itself over and over again until the stack is exhausted.,memory overflow,"consuming memory, stack exhaustion, read application data, system crash","terminating condition, end condition",Code quality,problems with complexity,high,selectivity,medium,post completion error,low,problems with complexity,coding,Author,Author,Rule encoding deficiencies / lack of knowledge,,
544,https://cwe.mitre.org/data/definitions/544.html,Missing Standard Error Handling Mechanism,Jasmine,"The product does not use a standardized method for handling errors throughout the code, which might introduce inconsistent error handling and resultant weaknesses.",An error during execution occurs but a lack of error handling is found for this code block.,error handling,"quality degradation, unexpected state","standardized method, error handling, exceptional conditions",Errors,biased review,high,rule encoding deficiencies,medium,post completion error,medium,overconfidence,,Author,Author,Selectivity / Biased review,,
382,https://cwe.mitre.org/data/definitions/382.html,Bad Practices: Use of System.exit(),Jasmine,"A J2EE application uses System.exit(), which also shuts down its container.",a program using system.exit() in the event of a specific exception error for web application.,,"system crash, system exit, system restart, denial of service attack","separation of privileges, control flow",Time and state,lack of knowledge,high,strong but now wrong rule,medium,,,,coding,Author,Author,Lack of knowledge,,
415,https://cwe.mitre.org/data/definitions/415.html,Double Free,Jasmine,The product calls free() twice on the same memory address.,When programmer frees a memory space when they already had done so prior.,buffer overflow,"modify memory, execute unauthorized code, corrupted memory, system crash, buffer overflow attack","automatic memory management, automated static analysis, code quality, fuzz testing",Code quality,CM1: forgetting something has been done,high,rule encoding deficiencies,medium,strong but now wrong,high,strong but now wrong ,,Author,Author,CM1: Forgetting something has been done,,
115,https://cwe.mitre.org/data/definitions/115.html,Misinterpretation of Input,Jasmine,"The product misinterprets an input, whether from an attacker or another product, in a security-relevant fashion.",The program is led to crash or in an incorrect result from the misinterpretation of data.,Incorrect output,"unexpected state, incorrect interpretation, behavioral problems",fuzz testing,Code quality,lack of security requirenments,high,biased review,medium,,,lack of security requirenments,,Author,Author,Rule encoding deficiencies,,
484,https://cwe.mitre.org/data/definitions/484.html,Ommitted break statement in switch,Jasmine,"The product omits a break statement within a switch or similar construct, causing code associated with multiple conditions to execute. This can cause problems when the programmer only intended to execute code associated with one condition.",When a programmer writes a switch statement in code but neglects a break statement within the case.,undefined behavior,"unexpected application behavior, critical code executing, behavioral problems","documentation, coding standards, control flow",Code quality,Rule Encoding Deficiencies,high,selectivity,high,,,,,Author,Author,Rule encoding deficiencies / selectivity,,
835,https://cwe.mitre.org/data/definitions/835.html,Loop with unreachable exit condition,Jasmine,The product contains an iteration or loop with an exit condition that cannot be reached,"Program runs forever with an eventual program crash from an infinite loop within code. Possibly from a for, while loop, or recursion loop.",program crash,"infinite loop, resource consumption, excessive iteration, behavioral problems","automated static analysis, control flow",Code quality,Rule Encoding Deficiencies,high,selectivity,high,,,,,Author,Author,Rule encoding deficiencies / selectivity,,
1025,https://cwe.mitre.org/data/definitions/1025.html,Comparison using wrong factors,Jasmine,"The code performs a comparison between two entities, but the comparison examines the wrong factors or characteristics of the entities, which can lead to incorrect results and resultant weaknesses.","the code might inadvertently compare references to objects, instead of the relevant contents of those objects, causing two ""equal"" objects to be considered unequal.",undefined behavior,"incorrect results, result weakness, behavioral problems, comparison errors",testing of comparison logic,Code quality,Perceptual confusions,medium,rule encoding deficiencies,medium,,,,,Author,Author,Rule encoding deficiencies / perceptual confusions,Agree,
283,https://cwe.mitre.org/data/definitions/283.html,Unverified Ownership,Jasmine,The product does not properly verify that a critical resource is owned by the proper entity.,A product needs to verify ownership of a user before giving them admin privilages.,Security Threat,"gain privileges, assume identity,","properly verify ownership, separation of privileges",Security Features,O1 lack of security requirements,high,selectivity,medium,,,,,Author,Author,Lack of security / selectivity,Agree,
324,https://cwe.mitre.org/data/definitions/324.html,Use of a key past its expiration date.,Jasmine,"The product uses a cryptographic key or password past its expiration date, which diminishes its safety significantly by increasing the timing window for cracking attacks against that key.","The product allows for the usage of an expired password(key) without an error, causing entrance from an otherwise unusable password.",Security Threat,"bypass protection mechanism, gain privileges, assume identity, integrity","user interface, expiration keys",Security Features,O1 lack of security requirements,high,,,,,,,Author,Author,Lack of security / selectivity,No system in place to create/switch to new key,
111,https://cwe.mitre.org/data/definitions/111.html,Deriect use of unsafe JNI,Jasmine,"When a Java application uses the Java Native Interface (JNI) to call code written in another programming language, it can expose the application to weaknesses in that code, even if those weaknesses cannot occur in Java.","Native code is unprotected by the security features enforced by the runtime environment, such as strong typing and array bounds checking.",undefined behavior,"buffer overflow, bypass protection mechanism, input validation","unprotected native code, jni call error handling, automated static analysis",input validation and representation,biased review,medium,lack of knowledge,medium,,,,,Author,Author,biased review / strong but now wrong / lack of knowledge,"JNI may be useful in other circumstances, but not when calling code in another language",
390,https://cwe.mitre.org/data/definitions/390.html,Detection of error condition without action,Jasmine,An attacker could utilize an ignored error condition to place the system in an unexpected state that could lead to the execution of unintended logic and could cause other unintended behavior,"a caught failed malloc call without any change to resolve the error, an attacker uses this entry point as a weakness. ",undefined behavior,"unexpected state, alter execution logic","error handling, handle exceptions, fuzz testing, fault tolerance, automated static analysis",errors,post completion error,high ,O1: lack of security requirements,medium,,,,,Author,Author,post comlpletion error / lack of security,Agree,
393,https://cwe.mitre.org/data/definitions/393.html,return of wrong status code,Jasmine,The function returns an incorrect statement or issues an incorrect status code which incorrectly changes the behavior of the parent function.,"This can lead to unpredictable behavior. If the function is used to make security-critical decisions or provide security-critical information, then the wrong status code can cause the product to assume that an action is safe or correct, even when it is not.",undefined behavior,"incorrect results, behavioral problems, alter execution logic","error handling, return values, fuzz testing, wrong status code",API abuse,selectivity,high,,,,,,,Author,Author,selectivity / rule encoding defficiencies,,
570,https://cwe.mitre.org/data/definitions/570.html,the expression is always false,Jasmine,The product contains an expression that will always evaluate to false.,a value never updates to a value that would lead to an expression equaling to true.,system crash,"quality degradation, false expression","coding standards, dead code, automated static analysis",Code quality,selectivity,high,,,,,,,Author,Author,selectivity,Agree,
125,https://cwe.mitre.org/data/definitions/125.html,out-of-bounds read,Jasmine,"the product reads data past the end, or before the beginning, of the indented buffer.",The product executes a memory read that is not intended to be read.,"undefined behavior, system crash, reading unauthorized data, security threat","read memory, bypass protection mechanism, system crash, system restart, undefined results, out of bounds read","input validation, language selection, fuzz testing, automated static analysis, memory management",Code quality,strong but now wrong ,medium,selectivity,medium,,,,,Author,Author,selectivity / strong but now wrong / selectivity,,
193,https://cwe.mitre.org/data/definitions/193.html,off-by-one-error,Jasmine,"a product calculates or uses an incorrect maximum or minimum value that is 1 more, or 1 less, than the correct value.","in a for loop that begins either 1 index before or after the true index, or, the ending index condition is either 1 before or 1 after the true index.","undefined behavior, system crash,","off by one error, system crash, system restart, resource consumption, modify memory, bypass protection mechanism","automated static analysis, coding standards",Code quality,Perceptual confusions,medium,selectivity,medium,overconfidence,medium,,,Author,Author,Perceptual confusions / selectivity / overconfidence,Agree,
580,https://cwe.mitre.org/data/definitions/580.html,clone() method without super.clone(),Jasmine,The product contains a clone() method that does not call super.clone() to obtain the new object.,"All implementations of clone() should obtain the new object by calling super.clone(). If a class does not follow this convention, a subclass's clone() method will return an object of the wrong type.",undefined behavior,"quality degradation, unexpected state",automated static analysis,API abuse,lack of knowledge,high,,,,,,,Author,Author,lack of knowledge / selectivity,,
325,https://cwe.mitre.org/data/definitions/325.html,Missing Cryptographic Step,Xander,"The product does not implement a required step in a cryptographic algorithm, resulting in weaker encryption than advertised by the algorithm.",Missing step/check (such as challenge-response) still allows for functionality but leaves a security hole for exploitation.,security threat,"bypass protection mechanism, read application data, modify application data, hide activities, encryption",cryptography,Security Features,O1 lack of security requirements,high,selectivity,medium,,,,,,,Author,Author,
1232,https://cwe.mitre.org/data/definitions/1232.html,Improper Lock Behavior After Power State Transition,Xander,"Register lock bit protection disables changes to system configuration once the bit is set. Some of the protected registers or lock bits become programmable after power state transitions (e.g., Entry and wake from low power sleep modes) causing the system configuration to be changeable.","After a power state transition, the lock bit is set to unlocked. Some common weaknesses that can exist in such a protection scheme are that the lock gets cleared, the values of the protected registers get reset, or the lock become programmable.","undefined behavior, unauthorized data",modify memory,testing,API abuse,post completion error,medium,rule encoding deficiencies,medium,,,,,,,Author,Author,
749,https://cwe.mitre.org/data/definitions/749.html,Exposed Dangerous Method or Function,Xander,"The product provides an Applications Programming Interface (API) or similar interface for interaction with external actors, but the interface includes a dangerous method or function that is not properly restricted.","This weakness can lead to a wide variety of resultant weaknesses, depending on the behavior of the exposed method. It can apply to any number of technologies and approaches, such as ActiveX controls, Java functions, IOCTLs, and so on.",undefined behavior,"gain privileges, assume identity, read application data, modify application data, execute unauthorized code","access control, automated static analysis, attack surface reduction",Code quality,Rule Encoding Deficiencies,medium,biased review,medium,,,,,,,Author,Author,
475,https://cwe.mitre.org/data/definitions/475.html,Undefined Behavior for input to API,Xander,The behavior of this function is undefined unless its control parameter is set to a specific value.,,undefined behavior,"quality degradation, undefined behavior","automated static analysis,",Code quality,Rule Encoding Deficiencies,low,,,,,,,,,Author,Author,
